id,label,group,fitness,prediction
0,0,0,1.293045257,0.02254978
1,0,0,0.764363532,0.3326767
2,0,0,1.203250151,0.028900595
3,0,0,0.858646162,0.1062567
4,0,1,0.589162797,0.4733721
5,0,1,6.453553806,0.8440357
6,0,1,0.33446557,0.004391905
7,1,0,1.896732411,0.4375361
8,1,1,0.365325564,0.9952857
9,1,0,0.93316299,0.97585505
10,1,0,8.300500832,0.66608
11,1,0,2.353581502,0.48170692
12,0,1,0.691850009,0.001037664
13,0,0,2.742624072,0.0864593
15,0,0,0.646124781,0.04656462
16,0,0,0.676492331,0.002521515
17,0,0,1.179036159,0.009167859
18,0,0,0.727539945,0.2434533
19,1,1,3.074371795,0.22123803
20,1,0,3.380547832,0.79223996
21,0,1,0.664184936,0.003650934
22,0,0,0.445434332,0.028212879
23,0,0,0.183349262,0.023199858
24,0,1,1.572883701,0.043654934
25,1,0,7.650149161,0.7064323
26,0,0,0.796177687,0.001287986
28,0,0,2.220049267,0.23215842
29,0,0,1.106116713,0.39876163
30,0,0,1.133132195,0.025240993
31,0,0,0.989600183,0.003226369
32,0,0,0.299867388,0.19744186
33,0,0,1.042885272,0.16691813
34,0,0,0.464711469,0.010207435
35,0,0,0.656470753,0.017505981
36,0,0,0.620938307,0.001271905
37,0,1,0.436712309,0.019189116
39,0,0,3.782810427,0.5275188
40,0,0,0.548974787,0.05733625
41,0,0,3.895802389,0.66679376
42,0,0,1.927858572,0.3151871
43,0,1,3.000303521,0.023420358
44,0,0,0.804334933,0.003682205
45,1,0,13.28976021,0.72105855
46,0,0,0.985204621,0.2732804
47,0,1,2.593955015,0.20450833
48,0,0,1.539710298,0.3067678
49,0,0,1.214989579,0.07146308
50,0,1,0.568490067,0.2144938
52,1,1,0.238723516,0.98586965
53,1,0,4.136749888,0.61228263
54,0,0,2.287907284,0.2574807
55,1,0,7.147397924,0.5491524
56,0,0,0.660450301,0.03948732
57,0,0,2.087531062,0.16440088
58,0,0,2.862763033,0.42998075
59,0,0,0.564035145,0.031344764
60,0,0,0.872489966,0.3008412
62,0,0,1.301256454,0.33746523
63,1,0,4.385121884,0.85665715
64,0,0,1.246398278,0.12251778
65,0,0,1.629068498,0.25232446
66,0,1,0.639908177,0.015302409
67,1,1,0.77405665,0.45287606
68,1,0,5.112916029,0.72578895
70,0,0,0.646083247,0.001854496
71,0,1,1.546862929,0.028186863
72,1,0,12.66450233,0.5517748
73,0,0,0.99909143,0.003143643
74,0,0,0.468772434,0.05556375
75,0,0,0.837261667,0.003097368
76,0,0,2.610728829,0.4354942
78,0,1,0.375518317,0.000231861
79,0,0,0.458809043,0.032796707
80,0,0,0.648462716,0.001476701
81,0,0,1.975347168,0.3690341
82,0,1,1.244067111,0.28781834
83,0,0,1.249088572,0.45011014
84,1,1,0.354866708,0.97539175
85,0,1,0.695732153,0.032018006
86,1,0,0.752534617,0.491811
87,0,0,14.87241788,0.6966959
88,0,0,0.527090521,0.01892494
89,1,1,9.812043172,0.7028537
90,0,0,8.418685477,0.58103514
91,0,1,1.229064545,0.02377003
92,0,1,0.606556678,0.004663159
94,1,0,13.66192321,0.6390338
95,0,0,1.627901045,0.03142385
96,1,0,0.233610407,0.9889081
97,1,0,14.65695076,0.5242149
98,0,1,2.698471151,0.08495211
99,0,0,1.137959985,0.005684177
100,1,0,17.79245582,0.691073
101,1,0,0.342861013,0.99864894
102,0,1,2.762712795,0.26521468
103,0,1,0.57452007,0.001659925
104,0,0,1.041568368,0.0173038
105,1,0,0.591716814,0.9919618
107,0,0,0.456713008,0.005199012
108,0,1,0.812922052,0.01027232
109,0,0,1.264478988,0.23114157
110,0,0,1.153339396,0.012560613
111,1,0,7.848048024,0.82810384
112,1,0,0.241393737,0.8741455
113,0,1,0.373385415,0.043602746
114,0,1,0.964023222,0.007828427
115,0,0,0.720017858,0.1338151
116,0,0,19.66278533,0.5650546
117,1,0,1.63231799,0.42406467
118,0,0,2.896743295,0.5421021
119,0,0,0.934907479,0.003232588
120,0,1,0.910158802,0.000762578
121,0,0,4.973781939,0.7876571
122,0,0,1.316805398,0.03855563
123,1,0,7.768759704,0.5524752
124,0,0,0.841395241,0.000568851
125,1,1,6.368107048,0.8374594
126,0,1,0.179221444,0.000159936
127,1,0,1.602630536,0.28440952
129,0,0,1.854482275,0.06026256
130,0,1,2.433793937,0.070173346
131,0,1,0.190194476,0.001581456
132,0,0,0.620999328,0.4351316
133,0,0,8.720877066,0.7330813
134,0,1,2.201119805,0.055171426
135,1,0,3.54107545,0.82892287
136,0,0,1.894678802,0.24442554
137,0,1,0.889537178,0.23401663
138,0,0,0.432054593,0.000975776
139,1,0,1.288437735,0.49354926
140,0,0,0.784753048,0.355963
141,0,1,1.137936833,0.009169493
142,0,0,0.507589225,0.00045842
143,1,1,0.259958722,0.48134506
144,0,0,1.008161294,0.073500745
145,0,1,0.734741849,0.002929362
146,0,0,0.539448715,0.009657179
147,0,1,0.685231859,0.002861048
148,0,0,0.15760472,0.185628
150,0,1,1.55686846,0.024515314
151,0,1,0.976112928,0.014041495
152,0,1,2.203963885,0.056449853
153,0,0,0.646375807,0.000800618
155,0,0,1.197691748,0.48585066
156,0,0,1.049452036,0.003560133
157,0,0,0.151244033,0.030262409
158,0,0,1.488674312,0.067157485
159,0,0,3.592965173,0.09104563
161,0,1,0.778175816,0.002564922
162,0,1,3.174521661,0.18135278
163,0,1,0.509156506,0.017304108
164,1,0,4.522479126,0.5986857
165,0,1,1.088100076,0.00970943
166,0,0,2.057460513,0.1463228
167,0,0,4.015587526,0.34142175
168,0,0,0.295203712,0.000313652
169,0,1,0.536940175,0.024274042
170,0,0,0.186676236,0.001906039
171,0,0,0.804733429,0.17036706
172,1,0,0.226968666,0.9610088
173,0,0,2.185822925,0.065034255
174,1,0,0.764731248,0.40761852
175,0,1,0.50863207,0.006067024
176,0,0,0.753159387,0.00099317
177,0,0,1.014951217,0.011394826
178,0,0,0.376844592,0.000315677
179,0,0,3.014347325,0.65892476
180,1,0,4.496297604,0.5150939
181,0,1,1.11571377,0.028932367
182,0,0,1.15658728,0.040752515
183,1,0,0.652457183,0.036528923
184,1,0,5.560764755,0.59921634
185,0,0,1.126116663,0.16887406
186,0,1,1.725980754,0.092395
188,0,1,7.173381435,0.7862961
189,1,0,8.726133525,0.6300019
190,0,1,0.560623708,0.009521685
191,0,0,1.178032674,0.052967858
192,0,0,5.411621782,0.49492186
193,0,0,3.203439594,0.61999285
194,0,0,0.853726358,0.4106777
195,0,0,0.410000091,0.011540295
196,0,0,0.957049669,0.046527103
197,1,1,0.349919951,0.99751115
198,1,0,0.639916278,0.98841804
199,0,0,0.77381004,0.01168614
200,0,1,0.194585083,0.034947965
202,1,0,4.304585917,0.8619022
203,0,1,0.296591105,0.048458822
204,0,1,0.833043049,0.010801872
205,0,1,0.575252432,0.001143607
206,1,0,0.669985697,0.9819962
207,0,0,1.909867567,0.07448056
208,1,1,0.337142879,0.99021786
209,0,1,0.266698095,0.000422058
210,0,0,1.477142848,0.2280698
211,1,0,1.20461881,0.29515088
212,0,1,1.111761961,0.020700064
213,0,0,2.010637244,0.3262836
214,1,0,0.628837786,0.09357692
215,1,0,2.736989178,0.35942683
216,0,1,2.400377951,0.07420005
217,0,0,5.172064896,0.7581176
