id,label,group,loco,prediction
0,0,0,0,0.07512192
1,0,0,0,0.32319742
2,0,0,0,0.029477954
3,0,0,0,0.10847969
4,0,1,-0.000319362,0.53836334
5,0,1,-0.00586623,0.81421375
6,0,1,-0.002110614,0.006957744
7,1,0,0,0.385798
8,1,1,-0.003957093,0.98222464
9,1,0,0,0.9495593
10,1,0,0,0.6321234
11,1,0,0,0.49168682
12,0,1,-0.000578964,0.002628554
13,0,0,0,0.10256159
14,0,0,0,0.061130222
15,0,0,0,0.004845051
16,0,0,0,0.016291898
17,0,0,0,0.23987897
18,1,1,-0.1215027,0.26799548
19,1,0,0,0.8116151
20,0,1,-0.004005257,0.008616631
21,0,0,0,0.06449788
22,0,0,0,0.09302556
23,0,1,-0.043104466,0.057349395
24,1,0,0,0.7205171
25,0,0,0,0.003007152
26,0,0,0,0.18673165
27,0,0,0,0.35186818
28,0,0,0,0.040665545
29,0,0,0,0.004948296
30,0,0,0,0.14878939
31,0,0,0,0.218232
32,0,0,0,0.017246842
33,0,0,0,0.028984305
34,0,0,0,0.00276865
35,0,1,-0.00033657,0.013344527
36,0,0,0,0.53256285
37,0,0,0,0.08247778
38,0,0,0,0.6523673
39,0,0,0,0.3576671
40,0,1,-0.025209159,0.033905562
41,0,0,0,0.007226566
42,1,0,0,0.73202676
43,0,0,0,0.29152027
44,0,1,-0.11086042,0.21949817
45,0,0,0,0.3964638
46,0,0,0,0.06282061
47,0,1,-0.001238585,0.22684778
48,1,1,-0.002446115,0.98086655
49,1,0,0,0.5845244
50,0,0,0,0.23443663
51,1,0,0,0.54278976
52,0,0,0,0.07054199
53,0,0,0,0.16558017
54,0,0,0,0.36896485
55,0,0,0,0.11632845
56,0,0,0,0.42506352
57,0,0,0,0.3422761
58,1,0,0,0.81478
59,0,0,0,0.102164835
60,0,0,0,0.257139
61,0,1,-0.008258516,0.020992342
62,1,1,-0.017800003,0.39145908
63,1,0,0,0.7090927
64,0,0,0,0.003990671
65,0,1,-0.012970198,0.03579288
66,1,0,0,0.526936
67,0,0,0,0.006158815
68,0,0,0,0.1656999
69,0,0,0,0.004846017
70,0,0,0,0.4500387
71,0,1,-0.000213715,0.001247656
72,0,0,0,0.04527108
73,0,0,0,0.003532368
74,0,0,0,0.38953355
75,0,1,-0.011052027,0.2273965
76,0,0,0,0.43427935
77,1,1,-0.011110127,0.9625405
78,0,1,-0.016467772,0.027706046
79,1,0,0,0.45319286
80,0,0,0,0.6922741
81,0,0,0,0.023351373
82,1,1,-0.08566654,0.62715536
83,0,0,0,0.5456427
84,0,1,-0.01680407,0.03407011
85,0,1,-0.002480289,0.007719513
86,1,0,0,0.6365485
87,0,0,0,0.044661436
88,1,0,0,0.9786825
89,1,0,0,0.49554667
90,0,1,-0.04826913,0.08211935
91,0,0,0,0.007988161
92,1,0,0,0.69415915
93,1,0,0,0.99439466
94,0,1,-0.11770448,0.29537898
95,0,1,-0.000778543,0.00278508
96,0,0,0,0.022275839
97,1,0,0,0.97671777
98,0,0,0,0.007316511
99,0,1,-0.006956687,0.016892962
100,0,0,0,0.22032925
101,0,0,0,0.011670494
102,1,0,0,0.792017
103,1,0,0,0.75150055
104,0,1,-0.005351149,0.09882095
105,0,1,-0.00341593,0.01025907
106,0,0,0,0.1483511
107,0,0,0,0.5838642
108,1,0,0,0.43136394
109,0,0,0,0.5366008
110,0,0,0,0.007150913
111,0,1,-0.000512172,0.002246108
112,0,0,0,0.80818546
113,0,0,0,0.037382245
114,1,0,0,0.56367093
115,0,0,0,0.002265191
116,1,1,-0.012921751,0.7961289
117,0,1,-0.000260499,0.001155516
118,1,0,0,0.3071091
119,0,0,0,0.060126275
120,0,1,-0.022594765,0.05669886
121,0,1,-0.001121095,0.004265973
122,0,0,0,0.36423156
123,0,0,0,0.6922966
124,0,1,-0.028876826,0.053543568
125,1,0,0,0.7707084
126,0,0,0,0.30246124
127,0,1,0.002553731,0.26347977
128,0,0,0,0.001975563
129,1,0,0,0.4323857
130,0,0,0,0.36382297
131,0,1,-0.002850656,0.00806214
132,0,0,0,0.001700376
133,1,1,-0.07516451,0.18230067
134,0,0,0,0.051878385
135,0,1,-0.002547652,0.007844134
136,0,0,0,0.018602867
137,0,1,-0.005043697,0.007879039
138,0,0,0,0.163962
139,0,1,-0.024433553,0.032163225
140,0,1,-0.009173069,0.021029728
141,0,1,-0.018792473,0.063984066
142,0,0,0,0.002576821
143,0,0,0,0.4118461
144,0,0,0,0.007008795
145,0,0,0,0.04508875
146,0,0,0,0.06940889
147,0,0,0,0.1330029
148,0,1,-0.001894163,0.006141016
149,0,1,-0.10152131,0.202748
150,0,1,-0.004919432,0.018600548
151,1,0,0,0.63568854
152,0,1,-0.004832108,0.01199433
153,0,0,0,0.15771183
154,0,0,0,0.2788693
155,0,0,0,0.001303193
156,0,1,-0.020881625,0.024891337
157,0,0,0,0.00777576
158,0,0,0,0.1468285
159,1,0,0,0.911652
160,0,0,0,0.07512151
161,1,0,0,0.4376325
162,0,1,-0.003199389,0.008166852
163,0,0,0,0.002835336
164,0,0,0,0.017004484
165,0,0,0,0.001448282
166,0,0,0,0.65012467
167,1,0,0,0.5310778
168,0,1,-0.021584608,0.040831137
169,0,0,0,0.05546113
170,1,0,0,0.06546525
171,1,0,0,0.5353458
172,0,0,0,0.19439079
173,0,1,-0.034034163,0.10071078
174,0,1,-0.009734571,0.71798676
175,1,0,0,0.56001514
176,0,1,-0.004967219,0.015143431
177,0,0,0,0.06307026
178,0,0,0,0.54989827
179,0,0,0,0.6424124
180,0,0,0,0.4973565
181,0,0,0,0.015689358
182,0,0,0,0.048732445
183,1,1,-0.003474295,0.98880196
184,1,0,0,0.9866866
185,0,0,0,0.011687104
186,0,1,-0.009593606,0.034266647
187,1,0,0,0.8328594
188,0,1,-0.022318255,0.04654747
189,0,1,-0.010321764,0.02075549
190,0,1,-0.000728978,0.002235326
191,1,0,0,0.9716941
192,0,0,0,0.0904081
193,1,1,-0.002561927,0.98132104
194,0,1,-0.000365953,0.001392684
195,0,0,0,0.28425002
196,1,0,0,0.2902644
197,0,1,-0.011025671,0.025696117
198,0,0,0,0.30842635
199,1,0,0,0.14551446
200,1,0,0,0.393985
201,0,1,-0.035940014,0.05996956
202,0,0,0,0.66861004
203,0,0,0,0.73934966
204,0,0,0,0.011214625
205,0,0,0,0.16621827
206,0,0,0,0.026120394
207,0,0,0,0.13998099
208,0,1,-0.007532332,0.015811289
209,0,1,-0.000711447,0.002247315
210,0,0,0,0.090737805
211,0,1,-0.016263405,0.01719326
212,0,1,-0.015299222,0.027389036
213,0,0,0,0.012919299
214,0,1,-0.017346488,0.02844925
215,0,0,0,0.020884879
216,0,1,-0.006983088,0.020300759
217,1,0,0,0.23172612
218,0,0,0,0.1662657
219,0,1,-0.016432462,0.031017577
220,1,0,0,0.7974698
221,1,0,0,0.81185335
222,0,0,0,0.003953307
223,1,0,0,0.6740197
224,0,1,0.004042134,0.1691102
225,0,0,0,0.18840007
226,0,0,0,0.022682149
227,1,0,0,0.40343058
228,0,1,-0.002169691,0.007528435
229,1,0,0,0.94699365
230,1,1,-0.007341206,0.83216196
231,0,1,-0.004339695,0.6261206
232,0,1,-0.007643002,0.008717847
233,0,0,0,0.003625189
234,0,0,0,0.029495284
235,1,0,0,0.1462667
236,0,1,-0.000458227,0.001963828
237,0,1,-0.001958418,0.00754513
238,0,1,-0.14400929,0.1733973
239,0,0,0,0.036600474
240,0,1,-0.024381116,0.07655822
241,0,0,0,0.4513186
242,0,0,0,0.001438213
243,0,0,0,0.27049983
244,0,0,0,0.05574478
245,1,0,0,0.6146164
246,1,0,0,0.4314634
247,0,1,-0.06424405,0.16764499
248,1,1,0.000806332,0.2860421
249,1,0,0,0.4714843
250,0,0,0,0.001092202
251,0,0,0,0.3366628
252,0,0,0,0.017886335
253,0,1,-0.006570209,0.020647252
254,0,0,0,0.20228928
255,1,0,0,0.986027
256,0,1,-0.014651556,0.04345321
257,0,1,-0.001963569,0.006688826
258,1,1,-0.002053499,0.96291196
259,0,1,-0.001196964,0.005849972
260,1,0,0,0.9160047
261,0,1,-0.038001895,0.06636947
262,0,1,-0.07831229,0.14593723
263,0,0,0,0.002102847
264,1,0,0,0.99332315
265,1,0,0,0.82432014
266,0,0,0,0.068681836
267,0,1,-0.005763704,0.023326205
268,0,0,0,0.110045426
269,0,0,0,0.68939567
270,0,1,-0.011825293,0.032759666
271,0,0,0,0.26039866
272,0,0,0,0.005478121
273,0,1,-0.006177947,0.017054172
274,0,0,0,0.10292504
275,0,1,-0.09922923,0.24482714
276,0,0,0,0.005007036
277,0,0,0,0.13236949
278,1,0,0,0.9892245
279,0,1,-0.000484424,0.002574109
280,1,0,0,0.22778805
281,1,0,0,0.5400931
282,0,1,-0.000498734,0.11771082
283,0,1,-0.017144304,0.033457346
284,0,0,0,0.039855015
285,0,1,-0.01996078,0.043668006
286,1,0,0,0.3613367
287,1,0,0,0.30464116
288,0,0,0,0.029060038
289,1,0,0,0.9833398
290,1,1,-0.036363006,0.10292521
291,0,0,0,0.002159603
292,0,0,0,0.008492098
293,0,0,0,0.29895654
294,0,1,-0.001615117,0.008938926
295,0,1,-0.008998215,0.024132084
296,0,1,-0.006997541,0.009225478
297,0,0,0,0.29368776
298,0,0,0,0.50614804
299,0,0,0,0.071441874
300,0,1,-0.006590441,0.022514408
301,0,0,0,0.23114686
302,0,0,0,0.13077268
303,1,1,-0.005120337,0.93690115
304,0,0,0,0.26461723
305,0,0,0,0.061936412
306,0,0,0,0.09774031
307,0,0,0,0.024483582
308,0,0,0,0.03511141
309,0,0,0,0.15773907
310,0,0,0,0.3452059
311,0,0,0,0.005539466
312,0,0,0,0.016962992
313,0,0,0,0.45219725
314,0,0,0,0.002901076
315,0,0,0,0.16513178
316,0,0,0,0.022433173
317,1,0,0,0.98606384
318,1,0,0,0.977489
319,0,0,0,0.008993084
320,0,1,-0.000690533,0.004190859
321,0,0,0,0.15969479
322,0,0,0,0.018085815
323,0,0,0,0.029776227
324,1,0,0,0.64149123
325,0,0,0,0.06932912
326,1,0,0,0.64149123
327,0,0,0,0.071982265
328,1,0,0,0.41007936
329,0,0,0,0.027103854
330,1,0,0,0.5255133
331,0,1,-0.000383228,0.377893
332,0,0,0,0.045218028
333,0,1,0.000591017,0.0740402
334,1,0,0,0.68565196
335,0,0,0,0.6312975
336,1,0,0,0.6827589
337,0,0,0,0.023317436
338,0,0,0,0.13537727
339,0,0,0,0.43116897
340,0,1,-0.000973608,0.003435425
341,1,1,-0.12150371,0.34973702
342,0,1,-0.01948443,0.03255911
343,0,1,-0.002482527,0.007391257
344,0,0,0,0.001435506
