id,label,group,loco,prediction
3,1,1,-0.048552513,0.6757465
4,1,1,-0.113811165,0.14153242
8,0,0,0.0,0.24682343
10,1,0,0.0,0.88808703
14,1,0,0.0,0.68574
15,0,1,-0.08937344,0.09500553
16,1,0,0.0,0.89022756
18,1,1,-0.09571391,0.7721766
19,1,0,0.0,0.8292767
20,1,1,0.08092798,0.31375116
22,0,1,-0.08828822,0.16692507
23,0,0,0.0,0.2957556
24,1,0,0.0,0.38286042
25,0,1,-0.29181474,0.40628237
26,0,1,-0.16555128,0.19143444
27,1,0,0.0,0.8503828
28,1,0,0.0,0.15901805
32,1,0,0.0,0.8896721
37,1,1,-0.06948309,0.07197788
39,0,1,-0.15564479,0.17724986
40,0,1,-0.06421769,0.64996934
41,0,0,0.0,0.20263635
42,0,1,-0.022328258,0.4031397
45,1,0,0.0,0.83964807
52,0,0,0.0,0.37432754
53,1,0,0.0,0.61168724
54,0,1,-0.012543142,0.002566242
55,1,0,0.0,0.8377367
56,0,1,-0.011445224,0.032825343
57,1,1,-0.27424288,0.66454506
59,1,0,0.0,0.7992796
61,1,1,-0.001852423,0.4728658
64,0,1,-0.049883306,0.70293987
66,0,0,0.0,0.16234149
67,0,1,-0.05307292,0.008195278
68,1,0,0.0,0.94408745
70,1,1,-0.049883306,0.70293987
71,1,0,0.0,0.7168328
79,0,1,-0.011323692,0.0045237676
80,1,1,-0.08750397,0.2850484
84,1,1,-0.270991,0.4487507
85,0,0,0.0,0.6132534
87,1,1,-0.1095016,0.5438692
90,0,1,-0.033037383,0.0033419584
91,1,0,0.0,0.80149275
93,1,1,-0.12398067,0.3530789
96,0,1,-0.058924824,0.47305635
98,0,1,-0.08902484,0.124586865
100,1,1,-0.012299359,0.97595346
105,1,1,-0.1600489,0.7429227
107,0,1,-0.10286197,0.31277993
108,0,0,0.0,0.577848
111,1,1,-0.14232445,0.67193735
113,1,1,-0.13171461,0.2976275
114,0,0,0.0,0.6028492
115,1,1,0.22562543,0.5191135
119,1,1,-0.079331696,0.606616
120,1,1,-0.17926896,0.7134327
122,0,1,-0.080595896,0.13331307
128,0,1,-0.055733155,0.0033338142
131,0,1,-0.20723224,0.08369043
136,1,1,-0.0035308003,0.7242897
137,0,1,-0.06606814,0.09548707
138,0,0,0.0,0.13230032
142,0,0,0.0,0.10015331
145,0,0,0.0,0.2513734
146,1,0,0.0,0.847193
148,1,0,0.0,0.9875964
151,1,1,0.043966055,0.59496737
153,1,1,-0.039988577,0.672727
154,1,0,0.0,0.8313327
156,0,0,0.0,0.05813957
157,1,0,0.0,0.7630639
158,0,0,0.0,0.8042193
159,1,0,0.0,0.7968269
163,1,0,0.0,0.8047428
166,0,1,-0.045079134,0.033198513
169,1,0,0.0,0.7542753
171,0,0,0.0,0.724299
173,0,1,-0.05104041,0.34687826
174,1,1,-0.08808011,0.6605671
175,1,0,0.0,0.79065233
176,0,1,-0.14426024,0.20806418
177,1,1,-0.07527089,0.5275783
178,0,1,-0.0052731032,0.0020746705
180,0,1,-0.10441673,0.6693001
183,0,0,0.0,0.03530759
184,0,1,-0.043716818,0.38709503
189,0,0,0.0,0.888655
190,0,1,-0.005939602,0.0023386134
194,1,0,0.0,0.48432842
195,1,0,0.0,0.20820777
197,1,0,0.0,0.8072597
202,1,0,0.0,0.89206964
203,1,1,0.15226144,0.51693565
206,1,0,0.0,0.13670023
208,1,0,0.0,0.8617847
210,0,1,-0.029774964,0.53380233
213,1,0,0.0,0.79711473
215,1,1,-0.10441673,0.6693001
216,1,0,0.0,0.9726924
220,0,1,-0.103129506,0.058931395
222,1,0,0.0,0.94737643
223,0,1,-0.10198103,0.055997368
224,0,1,-0.03223118,0.019609982
225,0,1,-0.067405365,0.07426841
227,1,1,0.077142835,0.6357494
228,0,1,0.15561152,0.26769614
