generation,type,ind,X1,X2,prediction,fitness
1,cfacts,0,0.559125613,0.142151854,1,3.05438047
1,cfacts,3,0.384499365,0.27811538,1,7.277674631
1,cfacts,4,0.535665612,0.060316537,1,2.916249447
1,cfacts,7,0.929915359,0.221490235,1,1.469480025
1,cfacts,8,0.636451749,0.202079827,1,2.567977741
1,cfacts,11,0.573552852,0.393576294,1,2.825032342
1,cfacts,12,0.90063202,0.284403968,1,1.534822858
1,cfacts,13,0.359871588,0.31729941,1,7.761276981
1,cfacts,14,0.779796411,0.070120655,1,1.787308484
1,cfacts,17,0.308455938,0.209287783,1,14.0378272
1,cfacts,18,0.592561389,0.247917703,1,2.919130868
1,cfacts,20,0.936670125,0.179066426,1,1.448594836
1,cfacts,21,0.673309439,0.393473504,1,2.237323873
1,cfacts,25,0.968778763,0.102336321,1,1.362788088
1,cfacts,31,0.934107326,0.620121792,1,1.285656158
1,cfacts,43,0.859656604,0.221531453,1,1.638482242
1,cfacts,49,0.557084868,0.178182444,1,3.170868437
1,cfacts,52,0.411825882,0.199605677,1,5.90001779
1,cfacts,53,0.989324931,0.175868196,1,1.345836661
1,cfacts,56,0.975413865,0.540880989,1,1.279491259
1,cfacts,58,0.970256277,0.486126137,1,1.319306383
1,cfacts,59,0.922704052,0.385317947,1,1.457345573
1,cfacts,66,0.897492253,0.535524976,1,1.413124845
1,cfacts,67,0.930619439,0.431408997,1,1.419687006
1,cfacts,72,0.478615735,0.236612713,1,4.366671766
1,cfacts,76,0.716553327,0.086193091,1,2.022350305
1,cfacts,78,0.47707991,0.199021852,1,4.296792746
1,cfacts,80,0.765775848,0.094123446,1,1.855922589
1,cfacts,82,0.803682809,0.716489829,1,1.381213606
1,cfacts,86,0.866747874,0.695979894,1,1.313884624
1,cfacts,90,0.796493285,0.417748818,1,1.749293086
1,cfacts,91,0.515570515,0.514886158,1,2.666028078
1,cfacts,93,0.65948459,0.430273778,1,2.235083281
1,cfacts,96,0.899784873,0.196080027,1,1.533699499
1,cfacts,99,0.297820382,0.059643192,1,5.094983121
1,cfacts,2,0.793093638,0.645479777,1,1.488472768
1,cfacts,3,0.784666535,0.325380722,1,1.852008871
1,cfacts,4,0.651975768,0.592756151,1,1.892981217
1,cfacts,8,0.540446573,0.522597269,1,2.510467859
1,cfacts,10,0.632608894,0.308978504,1,2.583125468
1,cfacts,15,0.523947944,0.280866531,1,3.62737603
1,cfacts,19,0.827108623,0.094416511,1,1.673044325
1,cfacts,22,0.931876751,0.459170131,1,1.402057084
1,cfacts,27,0.576542725,0.025788518,1,2.524568895
1,cfacts,30,0.861941858,0.39835118,1,1.588140273
1,cfacts,33,0.8465342,0.108438723,1,1.631053044
1,cfacts,38,0.438854515,0.007999753,1,3.257654818
1,cfacts,42,0.597618699,0.326524154,1,2.809446494
1,cfacts,44,0.578258263,0.34689818,1,2.921744949
1,cfacts,45,0.535912733,0.031652781,1,2.779691635
1,cfacts,46,0.446516825,0.013296295,1,3.250464379
