generation,type,ind,sex_Male,age,race_African_American,priors_count,juv_fel_count,c_charge_degree_F,prediction,fitness
1,cfacts,0,0,69.09864667,1,21.29789772,4.966624621,0,0,0.037230271
1,cfacts,2,0,28.58189541,1,6.548879362,6.786635757,1,0,0.031819213
1,cfacts,3,0,46.22782157,0,5.122469377,14.93748939,0,0,0.014904807
1,cfacts,4,0,57.63309265,1,22.13298741,16.35741584,0,0,0.013107017
1,cfacts,5,1,95.3923591,1,19.83814199,18.1397823,0,0,0.011687565
1,cfacts,6,0,24.7145166,0,11.26209438,7.393151967,1,0,0.028440851
1,cfacts,9,1,72.83869621,1,17.54848971,24.23234467,1,0,0.009044127
1,cfacts,10,1,78.13408968,1,24.12345313,22.15561797,1,0,0.009733964
1,cfacts,11,0,16.46092289,1,19.46298309,2.065251217,0,0,0.074192743
1,cfacts,16,1,32.62644217,1,5.808442037,13.37578225,0,0,0.016673574
1,cfacts,19,0,26.65264512,1,17.66177087,14.42101959,0,0,0.014967344
1,cfacts,20,0,17.06562199,0,0.124015039,3.570613328,0,0,0.057783408
1,cfacts,21,0,75.69787491,1,22.93445746,21.62343622,0,0,0.009957258
1,cfacts,23,0,10.78631998,1,0.720468884,24.10923,0,0,0.009298557
1,cfacts,24,1,39.95055991,0,15.93547586,19.79357509,1,0,0.011194257
1,cfacts,25,0,33.19999452,1,18.43998238,14.56303177,0,0,0.014878757
1,cfacts,26,0,66.0690814,1,16.77402537,22.92918878,1,0,0.009564165
1,cfacts,27,0,42.0405154,0,9.772906203,16.35656772,1,0,0.013582679
1,cfacts,28,1,64.86762995,0,21.52915001,7.753242243,1,0,0.0258287
1,cfacts,30,0,70.70725523,1,13.45645625,15.10769448,0,0,0.014245335
1,cfacts,33,0,24.77817567,1,2.366708073,7.132198486,0,0,0.030600983
1,cfacts,34,1,50.75564989,1,19.42846602,22.55000354,0,0,0.009756481
1,cfacts,35,0,75.6111653,1,22.54227459,14.44928191,1,0,0.01454196
1,cfacts,36,1,22.4034397,1,20.63470708,18.07732637,1,0,0.012024116
1,cfacts,37,0,21.16936416,1,11.91913214,20.20332083,0,0,0.010920574
